subject ID,age,gender,handedness,question ID,questionnaire type,delay,condition,value
P20,21,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P20,21,Male,Rigth handed,0,VAS,0.45,Coupling A,0.3391265
P20,21,Male,Rigth handed,1,VAS,0.45,Coupling A,0.3440842
P20,21,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P20,21,Male,Rigth handed,0,VAS,0.225,Coupling A,0.3446559
P20,21,Male,Rigth handed,1,VAS,0.225,Coupling A,0.5979001
P20,21,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P20,21,Male,Rigth handed,0,VAS,0.9,Coupling A,0.3543409
P20,21,Male,Rigth handed,1,VAS,0.9,Coupling A,0.5609761
P20,21,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P20,21,Male,Rigth handed,0,VAS,0.45,Coupling A,0.6232384
P20,21,Male,Rigth handed,1,VAS,0.45,Coupling A,0.6784981
P20,21,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P20,21,Male,Rigth handed,0,VAS,0.675,Coupling A,0.3513994
P20,21,Male,Rigth handed,1,VAS,0.675,Coupling A,0.5977669
P20,21,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P20,21,Male,Rigth handed,0,VAS,0.9,Coupling A,0.6286732
P20,21,Male,Rigth handed,1,VAS,0.9,Coupling A,0.612168
P20,21,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P20,21,Male,Rigth handed,0,VAS,0.225,Coupling A,0.7301347
P20,21,Male,Rigth handed,1,VAS,0.225,Coupling A,0.742614
P20,21,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P20,21,Male,Rigth handed,0,VAS,0.225,Coupling A,0.7707193
P20,21,Male,Rigth handed,1,VAS,0.225,Coupling A,0.6048938
P20,21,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P20,21,Male,Rigth handed,0,VAS,0.675,Coupling A,0.3362143
P20,21,Male,Rigth handed,1,VAS,0.675,Coupling A,0.5704698
P20,21,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P20,21,Male,Rigth handed,0,VAS,0,Coupling A,0.6592155
P20,21,Male,Rigth handed,1,VAS,0,Coupling A,0.6891235
P20,21,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P20,21,Male,Rigth handed,0,VAS,0.45,Coupling A,0.3501118
P20,21,Male,Rigth handed,1,VAS,0.45,Coupling A,0.5969385
P20,21,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P20,21,Male,Rigth handed,0,VAS,0.225,Coupling A,0.6914478
P20,21,Male,Rigth handed,1,VAS,0.225,Coupling A,0.6664379
P20,21,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P20,21,Male,Rigth handed,0,VAS,0.675,Coupling A,0.09357272
P20,21,Male,Rigth handed,1,VAS,0.675,Coupling A,0.3999894
P20,21,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P20,21,Male,Rigth handed,0,VAS,0.45,Coupling A,0.6377605
P20,21,Male,Rigth handed,1,VAS,0.45,Coupling A,0.350917
P20,21,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P20,21,Male,Rigth handed,0,VAS,0.9,Coupling A,0.6270911
P20,21,Male,Rigth handed,1,VAS,0.9,Coupling A,0.4497593
P20,21,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P20,21,Male,Rigth handed,0,VAS,0.45,Coupling A,0.3767274
P20,21,Male,Rigth handed,1,VAS,0.45,Coupling A,0.5264856
P20,21,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P20,21,Male,Rigth handed,0,VAS,0.675,Coupling A,0.2888854
P20,21,Male,Rigth handed,1,VAS,0.675,Coupling A,0.5682774
P20,21,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P20,21,Male,Rigth handed,0,VAS,0,Coupling A,0.6375978
P20,21,Male,Rigth handed,1,VAS,0,Coupling A,0.4215888
P20,21,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P20,21,Male,Rigth handed,0,VAS,0,Coupling A,0.6988864
P20,21,Male,Rigth handed,1,VAS,0,Coupling A,0.6302146
P20,21,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P20,21,Male,Rigth handed,0,VAS,0.225,Coupling A,0.7207938
P20,21,Male,Rigth handed,1,VAS,0.225,Coupling A,0.7360258
P20,21,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P20,21,Male,Rigth handed,0,VAS,0.45,Coupling A,0.68462
P20,21,Male,Rigth handed,1,VAS,0.45,Coupling A,0.4379096
P20,21,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P20,21,Male,Rigth handed,0,VAS,0.9,Coupling A,0.3859778
P20,21,Male,Rigth handed,1,VAS,0.9,Coupling A,0.225958
P20,21,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P20,21,Male,Rigth handed,0,VAS,0.675,Coupling A,0.4389073
P20,21,Male,Rigth handed,1,VAS,0.675,Coupling A,0.4289483
P20,21,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P20,21,Male,Rigth handed,0,VAS,0.9,Coupling A,0.3468882
P20,21,Male,Rigth handed,1,VAS,0.9,Coupling A,0.6138185
P20,21,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P20,21,Male,Rigth handed,0,VAS,0.225,Coupling A,0.2712708
P20,21,Male,Rigth handed,1,VAS,0.225,Coupling A,0.3479912
P20,21,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P20,21,Male,Rigth handed,0,VAS,0.225,Coupling A,0.6654815
P20,21,Male,Rigth handed,1,VAS,0.225,Coupling A,0.2971611
P20,21,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P20,21,Male,Rigth handed,0,VAS,0.9,Coupling A,0.1065003
P20,21,Male,Rigth handed,1,VAS,0.9,Coupling A,0.6735584
P20,21,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P20,21,Male,Rigth handed,0,VAS,0.675,Coupling A,0.2427119
P20,21,Male,Rigth handed,1,VAS,0.675,Coupling A,0.2656318
P20,21,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P20,21,Male,Rigth handed,0,VAS,0.45,Coupling A,0.3679671
P20,21,Male,Rigth handed,1,VAS,0.45,Coupling A,0.3853877
P20,21,Male,Rigth handed,0,ForcedChoice,0,Coupling A,0
P20,21,Male,Rigth handed,0,VAS,0,Coupling A,0.2437705
P20,21,Male,Rigth handed,1,VAS,0,Coupling A,0.3137805
P20,21,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P20,21,Male,Rigth handed,0,VAS,0.675,Coupling A,0.2664389
P20,21,Male,Rigth handed,1,VAS,0.675,Coupling A,0.3911979
P20,21,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P20,21,Male,Rigth handed,0,VAS,0,Coupling A,0.6507025
P20,21,Male,Rigth handed,1,VAS,0,Coupling A,0.6705742
P20,21,Male,Rigth handed,0,ForcedChoice,0,Coupling A,0
P20,21,Male,Rigth handed,0,VAS,0,Coupling A,0.1089171
P20,21,Male,Rigth handed,1,VAS,0,Coupling A,0.175247
P20,21,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P20,21,Male,Rigth handed,0,VAS,0.9,Coupling A,0.2837411
P20,21,Male,Rigth handed,1,VAS,0.9,Coupling A,0.3209581
P20,21,Male,Rigth handed,0,ForcedChoice,0,Coupling A,0
P20,21,Male,Rigth handed,0,VAS,0,Coupling A,0.2913103
P20,21,Male,Rigth handed,1,VAS,0,Coupling A,0.3788226
