subject ID,age,gender,handedness,question ID,questionnaire type,delay,condition,value
P30_2,24,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P30_2,24,Male,Rigth handed,0,VAS,0.9,Coupling A,0.02617045
P30_2,24,Male,Rigth handed,1,VAS,0.9,Coupling A,0.04203149
P30_2,24,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P30_2,24,Male,Rigth handed,0,VAS,0.225,Coupling A,0.9637625
P30_2,24,Male,Rigth handed,1,VAS,0.225,Coupling A,0.9330334
P30_2,24,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P30_2,24,Male,Rigth handed,0,VAS,0,Coupling A,0.9559827
P30_2,24,Male,Rigth handed,1,VAS,0,Coupling A,0.9626821
P30_2,24,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P30_2,24,Male,Rigth handed,0,VAS,0.675,Coupling A,0.1136594
P30_2,24,Male,Rigth handed,1,VAS,0.675,Coupling A,0.1731396
P30_2,24,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P30_2,24,Male,Rigth handed,0,VAS,0,Coupling A,0.9608954
P30_2,24,Male,Rigth handed,1,VAS,0,Coupling A,0.9441966
P30_2,24,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P30_2,24,Male,Rigth handed,0,VAS,0.9,Coupling A,0.06711312
P30_2,24,Male,Rigth handed,1,VAS,0.9,Coupling A,0.05863247
P30_2,24,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P30_2,24,Male,Rigth handed,0,VAS,0.9,Coupling A,0.07914191
P30_2,24,Male,Rigth handed,1,VAS,0.9,Coupling A,0.1047004
P30_2,24,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P30_2,24,Male,Rigth handed,0,VAS,0.45,Coupling A,0.04758778
P30_2,24,Male,Rigth handed,1,VAS,0.45,Coupling A,0.262197
P30_2,24,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P30_2,24,Male,Rigth handed,0,VAS,0,Coupling A,0.9538388
P30_2,24,Male,Rigth handed,1,VAS,0,Coupling A,0.9491726
P30_2,24,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P30_2,24,Male,Rigth handed,0,VAS,0.45,Coupling A,0.1237571
P30_2,24,Male,Rigth handed,1,VAS,0.45,Coupling A,0.1416041
P30_2,24,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P30_2,24,Male,Rigth handed,0,VAS,0,Coupling A,0.9591956
P30_2,24,Male,Rigth handed,1,VAS,0,Coupling A,0.96623
P30_2,24,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P30_2,24,Male,Rigth handed,0,VAS,0.225,Coupling A,0.06570645
P30_2,24,Male,Rigth handed,1,VAS,0.225,Coupling A,0.1370956
P30_2,24,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P30_2,24,Male,Rigth handed,0,VAS,0.45,Coupling A,0.7587899
P30_2,24,Male,Rigth handed,1,VAS,0.45,Coupling A,0.7757015
P30_2,24,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
