subject ID,age,gender,handedness,question ID,questionnaire type,delay,condition,value
P04_2,23,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P04_2,23,Female,Rigth handed,0,VAS,0.9,Coupling A,0.3839087
P04_2,23,Female,Rigth handed,1,VAS,0.9,Coupling A,0.2395488
P04_2,23,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P04_2,23,Female,Rigth handed,0,VAS,0.9,Coupling A,0.1711593
P04_2,23,Female,Rigth handed,1,VAS,0.9,Coupling A,0.1151928
P04_2,23,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P04_2,23,Female,Rigth handed,0,VAS,0.225,Coupling A,0.9472178
P04_2,23,Female,Rigth handed,1,VAS,0.225,Coupling A,0.8990265
P04_2,23,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P04_2,23,Female,Rigth handed,0,VAS,0.45,Coupling A,0.5317591
P04_2,23,Female,Rigth handed,1,VAS,0.45,Coupling A,0.4996804
P04_2,23,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P04_2,23,Female,Rigth handed,0,VAS,0.225,Coupling A,0.6479875
P04_2,23,Female,Rigth handed,1,VAS,0.225,Coupling A,0.7149065
P04_2,23,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P04_2,23,Female,Rigth handed,0,VAS,0.675,Coupling A,0.6392295
P04_2,23,Female,Rigth handed,1,VAS,0.675,Coupling A,0.5758729
P04_2,23,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P04_2,23,Female,Rigth handed,0,VAS,0,Coupling A,0.9188653
P04_2,23,Female,Rigth handed,1,VAS,0,Coupling A,0.8878211
P04_2,23,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P04_2,23,Female,Rigth handed,0,VAS,0.9,Coupling A,0.2937408
P04_2,23,Female,Rigth handed,1,VAS,0.9,Coupling A,0.3547291
P04_2,23,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P04_2,23,Female,Rigth handed,0,VAS,0.45,Coupling A,0.6046131
P04_2,23,Female,Rigth handed,1,VAS,0.45,Coupling A,0.575051
P04_2,23,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P04_2,23,Female,Rigth handed,0,VAS,0,Coupling A,0.7571298
P04_2,23,Female,Rigth handed,1,VAS,0,Coupling A,0.883378
P04_2,23,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P04_2,23,Female,Rigth handed,0,VAS,0.225,Coupling A,0.5634278
P04_2,23,Female,Rigth handed,1,VAS,0.225,Coupling A,0.5212585
P04_2,23,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P04_2,23,Female,Rigth handed,0,VAS,0.45,Coupling A,0.508881
P04_2,23,Female,Rigth handed,1,VAS,0.45,Coupling A,0.5277464
P04_2,23,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P04_2,23,Female,Rigth handed,0,VAS,0.225,Coupling A,0.5860803
P04_2,23,Female,Rigth handed,1,VAS,0.225,Coupling A,0.4819875
P04_2,23,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P04_2,23,Female,Rigth handed,0,VAS,0.45,Coupling A,0.4263688
P04_2,23,Female,Rigth handed,1,VAS,0.45,Coupling A,0.2933488
P04_2,23,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P04_2,23,Female,Rigth handed,0,VAS,0.675,Coupling A,0.4819772
P04_2,23,Female,Rigth handed,1,VAS,0.675,Coupling A,0.5107137
P04_2,23,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P04_2,23,Female,Rigth handed,0,VAS,0.675,Coupling A,0.3589072
P04_2,23,Female,Rigth handed,1,VAS,0.675,Coupling A,0.3209063
P04_2,23,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P04_2,23,Female,Rigth handed,0,VAS,0,Coupling A,0.8616602
P04_2,23,Female,Rigth handed,1,VAS,0,Coupling A,0.8830487
P04_2,23,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P04_2,23,Female,Rigth handed,0,VAS,0.45,Coupling A,0.4287267
P04_2,23,Female,Rigth handed,1,VAS,0.45,Coupling A,0.4009767
P04_2,23,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P04_2,23,Female,Rigth handed,0,VAS,0.675,Coupling A,0.4941983
P04_2,23,Female,Rigth handed,1,VAS,0.675,Coupling A,0.4612264
P04_2,23,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P04_2,23,Female,Rigth handed,0,VAS,0.9,Coupling A,0.3832478
P04_2,23,Female,Rigth handed,1,VAS,0.9,Coupling A,0.449622
P04_2,23,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P04_2,23,Female,Rigth handed,0,VAS,0,Coupling A,0.8748609
P04_2,23,Female,Rigth handed,1,VAS,0,Coupling A,0.9075943
P04_2,23,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
