subject ID,age,gender,handedness,question ID,questionnaire type,delay,condition,value
P05_2,23,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P05_2,23,Female,Rigth handed,0,VAS,0.9,Coupling A,0.5490566
P05_2,23,Female,Rigth handed,1,VAS,0.9,Coupling A,0.4111122
P05_2,23,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P05_2,23,Female,Rigth handed,0,VAS,0.45,Coupling A,0.4676461
P05_2,23,Female,Rigth handed,1,VAS,0.45,Coupling A,0.5824786
P05_2,23,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P05_2,23,Female,Rigth handed,0,VAS,0.225,Coupling A,0.7361902
P05_2,23,Female,Rigth handed,1,VAS,0.225,Coupling A,0.9450141
P05_2,23,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P05_2,23,Female,Rigth handed,0,VAS,0.9,Coupling A,0.5606788
P05_2,23,Female,Rigth handed,1,VAS,0.9,Coupling A,0.5056169
P05_2,23,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P05_2,23,Female,Rigth handed,0,VAS,0.225,Coupling A,0.6572857
P05_2,23,Female,Rigth handed,1,VAS,0.225,Coupling A,0.8187876
P05_2,23,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P05_2,23,Female,Rigth handed,0,VAS,0.225,Coupling A,0.7620567
P05_2,23,Female,Rigth handed,1,VAS,0.225,Coupling A,0.90434
P05_2,23,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P05_2,23,Female,Rigth handed,0,VAS,0.225,Coupling A,0.7948477
P05_2,23,Female,Rigth handed,1,VAS,0.225,Coupling A,0.966229
P05_2,23,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P05_2,23,Female,Rigth handed,0,VAS,0,Coupling A,0.8700432
P05_2,23,Female,Rigth handed,1,VAS,0,Coupling A,0.8336483
P05_2,23,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P05_2,23,Female,Rigth handed,0,VAS,0,Coupling A,0.8266019
P05_2,23,Female,Rigth handed,1,VAS,0,Coupling A,0.9805341
P05_2,23,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P05_2,23,Female,Rigth handed,0,VAS,0,Coupling A,0.8428982
P05_2,23,Female,Rigth handed,1,VAS,0,Coupling A,0.9414907
P05_2,23,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P05_2,23,Female,Rigth handed,0,VAS,0.675,Coupling A,0.6548494
P05_2,23,Female,Rigth handed,1,VAS,0.675,Coupling A,0.4827186
P05_2,23,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P05_2,23,Female,Rigth handed,0,VAS,0,Coupling A,0.6352158
P05_2,23,Female,Rigth handed,1,VAS,0,Coupling A,0.7788583
P05_2,23,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P05_2,23,Female,Rigth handed,0,VAS,0.675,Coupling A,0.6541457
P05_2,23,Female,Rigth handed,1,VAS,0.675,Coupling A,0.5373983
P05_2,23,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
