subject ID,age,gender,handedness,question ID,questionnaire type,delay,condition,value
P20_2,21,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P20_2,21,Male,Rigth handed,0,VAS,0.225,Coupling A,0.3016812
P20_2,21,Male,Rigth handed,1,VAS,0.225,Coupling A,0.3651612
P20_2,21,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P20_2,21,Male,Rigth handed,0,VAS,0,Coupling A,0.9382888
P20_2,21,Male,Rigth handed,1,VAS,0,Coupling A,0.7938006
P20_2,21,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P20_2,21,Male,Rigth handed,0,VAS,0,Coupling A,0.8925073
P20_2,21,Male,Rigth handed,1,VAS,0,Coupling A,0.7266555
P20_2,21,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P20_2,21,Male,Rigth handed,0,VAS,0.45,Coupling A,0.3407755
P20_2,21,Male,Rigth handed,1,VAS,0.45,Coupling A,0.3880184
P20_2,21,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P20_2,21,Male,Rigth handed,0,VAS,0.675,Coupling A,0.2569687
P20_2,21,Male,Rigth handed,1,VAS,0.675,Coupling A,0.53276
P20_2,21,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P20_2,21,Male,Rigth handed,0,VAS,0.225,Coupling A,0.7858894
P20_2,21,Male,Rigth handed,1,VAS,0.225,Coupling A,0.6831465
P20_2,21,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P20_2,21,Male,Rigth handed,0,VAS,0,Coupling A,0.790652
P20_2,21,Male,Rigth handed,1,VAS,0,Coupling A,0.637754
P20_2,21,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P20_2,21,Male,Rigth handed,0,VAS,0.45,Coupling A,0.3651804
P20_2,21,Male,Rigth handed,1,VAS,0.45,Coupling A,0.6326867
P20_2,21,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P20_2,21,Male,Rigth handed,0,VAS,0.45,Coupling A,0.3540251
P20_2,21,Male,Rigth handed,1,VAS,0.45,Coupling A,0.6095632
P20_2,21,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P20_2,21,Male,Rigth handed,0,VAS,0.225,Coupling A,0.4502948
P20_2,21,Male,Rigth handed,1,VAS,0.225,Coupling A,0.6975594
P20_2,21,Male,Rigth handed,0,ForcedChoice,0,Coupling A,0
P20_2,21,Male,Rigth handed,0,VAS,0,Coupling A,0.3615555
P20_2,21,Male,Rigth handed,1,VAS,0,Coupling A,0.4438426
P20_2,21,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P20_2,21,Male,Rigth handed,0,VAS,0.675,Coupling A,0.7651503
P20_2,21,Male,Rigth handed,1,VAS,0.675,Coupling A,0.7732423
P20_2,21,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,1
P20_2,21,Male,Rigth handed,0,VAS,0.9,Coupling A,0.750903
P20_2,21,Male,Rigth handed,1,VAS,0.9,Coupling A,0.6500538
P20_2,21,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P20_2,21,Male,Rigth handed,0,VAS,0.45,Coupling A,0.3653525
P20_2,21,Male,Rigth handed,1,VAS,0.45,Coupling A,0.6681137
P20_2,21,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P20_2,21,Male,Rigth handed,0,VAS,0.45,Coupling A,0.3947017
P20_2,21,Male,Rigth handed,1,VAS,0.45,Coupling A,0.4501349
P20_2,21,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P20_2,21,Male,Rigth handed,0,VAS,0.675,Coupling A,0.2508142
P20_2,21,Male,Rigth handed,1,VAS,0.675,Coupling A,0.2286847
P20_2,21,Male,Rigth handed,0,ForcedChoice,0,Coupling A,0
P20_2,21,Male,Rigth handed,0,VAS,0,Coupling A,0.3744823
P20_2,21,Male,Rigth handed,1,VAS,0,Coupling A,0.4402849
P20_2,21,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P20_2,21,Male,Rigth handed,0,VAS,0.675,Coupling A,0.362556
P20_2,21,Male,Rigth handed,1,VAS,0.675,Coupling A,0.3493848
P20_2,21,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P20_2,21,Male,Rigth handed,0,VAS,0.9,Coupling A,0.3200579
P20_2,21,Male,Rigth handed,1,VAS,0.9,Coupling A,0.3560055
P20_2,21,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P20_2,21,Male,Rigth handed,0,VAS,0.675,Coupling A,0.2890486
P20_2,21,Male,Rigth handed,1,VAS,0.675,Coupling A,0.3410321
P20_2,21,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P20_2,21,Male,Rigth handed,0,VAS,0.225,Coupling A,0.6566968
P20_2,21,Male,Rigth handed,1,VAS,0.225,Coupling A,0.5208315
P20_2,21,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P20_2,21,Male,Rigth handed,0,VAS,0.225,Coupling A,0.7009293
P20_2,21,Male,Rigth handed,1,VAS,0.225,Coupling A,0.8548411
P20_2,21,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P20_2,21,Male,Rigth handed,0,VAS,0.225,Coupling A,0.6490658
P20_2,21,Male,Rigth handed,1,VAS,0.225,Coupling A,0.4310969
P20_2,21,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P20_2,21,Male,Rigth handed,0,VAS,0.225,Coupling A,0.6847368
P20_2,21,Male,Rigth handed,1,VAS,0.225,Coupling A,0.6058185
P20_2,21,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P20_2,21,Male,Rigth handed,0,VAS,0.9,Coupling A,0.2129
P20_2,21,Male,Rigth handed,1,VAS,0.9,Coupling A,0.09831801
P20_2,21,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P20_2,21,Male,Rigth handed,0,VAS,0.675,Coupling A,0.3501918
P20_2,21,Male,Rigth handed,1,VAS,0.675,Coupling A,0.3873545
P20_2,21,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P20_2,21,Male,Rigth handed,0,VAS,0.45,Coupling A,0.2901967
P20_2,21,Male,Rigth handed,1,VAS,0.45,Coupling A,0.2968188
P20_2,21,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P20_2,21,Male,Rigth handed,0,VAS,0.45,Coupling A,0.282761
P20_2,21,Male,Rigth handed,1,VAS,0.45,Coupling A,0.3063032
P20_2,21,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P20_2,21,Male,Rigth handed,0,VAS,0,Coupling A,0.7666368
P20_2,21,Male,Rigth handed,1,VAS,0,Coupling A,0.6307787
P20_2,21,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P20_2,21,Male,Rigth handed,0,VAS,0.9,Coupling A,0.160927
P20_2,21,Male,Rigth handed,1,VAS,0.9,Coupling A,0.1677503
P20_2,21,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P20_2,21,Male,Rigth handed,0,VAS,0.9,Coupling A,0.2393669
P20_2,21,Male,Rigth handed,1,VAS,0.9,Coupling A,0.2595287
P20_2,21,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P20_2,21,Male,Rigth handed,0,VAS,0.675,Coupling A,0.1550089
P20_2,21,Male,Rigth handed,1,VAS,0.675,Coupling A,0.2076056
P20_2,21,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P20_2,21,Male,Rigth handed,0,VAS,0.9,Coupling A,0.03302713
P20_2,21,Male,Rigth handed,1,VAS,0.9,Coupling A,0.09763975
