subject ID,age,gender,handedness,question ID,questionnaire type,delay,condition,value
P21,24,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P21,24,Male,Rigth handed,0,VAS,0.675,Coupling A,0.5987293
P21,24,Male,Rigth handed,1,VAS,0.675,Coupling A,0.3523174
P21,24,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,1
P21,24,Male,Rigth handed,0,VAS,0.9,Coupling A,0.7453775
P21,24,Male,Rigth handed,1,VAS,0.9,Coupling A,0.6425719
P21,24,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P21,24,Male,Rigth handed,0,VAS,0.9,Coupling A,0.6925929
P21,24,Male,Rigth handed,1,VAS,0.9,Coupling A,0.3004278
P21,24,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P21,24,Male,Rigth handed,0,VAS,0.225,Coupling A,0.9141565
P21,24,Male,Rigth handed,1,VAS,0.225,Coupling A,0.8983968
P21,24,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,1
P21,24,Male,Rigth handed,0,VAS,0.45,Coupling A,0.8960383
P21,24,Male,Rigth handed,1,VAS,0.45,Coupling A,0.8715259
P21,24,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,1
P21,24,Male,Rigth handed,0,VAS,0.45,Coupling A,0.8528728
P21,24,Male,Rigth handed,1,VAS,0.45,Coupling A,0.8906724
P21,24,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P21,24,Male,Rigth handed,0,VAS,0,Coupling A,0.5958757
P21,24,Male,Rigth handed,1,VAS,0,Coupling A,0.8414646
P21,24,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P21,24,Male,Rigth handed,0,VAS,0.225,Coupling A,0.1563112
P21,24,Male,Rigth handed,1,VAS,0.225,Coupling A,0.6348503
P21,24,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P21,24,Male,Rigth handed,0,VAS,0,Coupling A,0.9442217
P21,24,Male,Rigth handed,1,VAS,0,Coupling A,0.9188123
P21,24,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P21,24,Male,Rigth handed,0,VAS,0,Coupling A,0.7265645
P21,24,Male,Rigth handed,1,VAS,0,Coupling A,0.7770177
P21,24,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,1
P21,24,Male,Rigth handed,0,VAS,0.675,Coupling A,0.7290214
P21,24,Male,Rigth handed,1,VAS,0.675,Coupling A,0.9002993
P21,24,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P21,24,Male,Rigth handed,0,VAS,0.225,Coupling A,0.8344803
P21,24,Male,Rigth handed,1,VAS,0.225,Coupling A,0.8718282
P21,24,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P21,24,Male,Rigth handed,0,VAS,0.45,Coupling A,0.4994003
P21,24,Male,Rigth handed,1,VAS,0.45,Coupling A,0.4870247
P21,24,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P21,24,Male,Rigth handed,0,VAS,0,Coupling A,0.7028527
P21,24,Male,Rigth handed,1,VAS,0,Coupling A,0.8652886
P21,24,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P21,24,Male,Rigth handed,0,VAS,0.9,Coupling A,0.2759055
P21,24,Male,Rigth handed,1,VAS,0.9,Coupling A,0.06250573
P21,24,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P21,24,Male,Rigth handed,0,VAS,0,Coupling A,0.6756193
P21,24,Male,Rigth handed,1,VAS,0,Coupling A,0.6817311
P21,24,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P21,24,Male,Rigth handed,0,VAS,0.225,Coupling A,0.35649
P21,24,Male,Rigth handed,1,VAS,0.225,Coupling A,0.5836956
P21,24,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P21,24,Male,Rigth handed,0,VAS,0.675,Coupling A,0.4057025
P21,24,Male,Rigth handed,1,VAS,0.675,Coupling A,0.3929283
