subject ID,age,gender,handedness,question ID,questionnaire type,delay,condition,value
P33_2,20,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P33_2,20,Female,Rigth handed,0,VAS,0.45,Coupling A,0.1508335
P33_2,20,Female,Rigth handed,1,VAS,0.45,Coupling A,0.1217319
P33_2,20,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P33_2,20,Female,Rigth handed,0,VAS,0.675,Coupling A,0.2047324
P33_2,20,Female,Rigth handed,1,VAS,0.675,Coupling A,0.1935766
P33_2,20,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P33_2,20,Female,Rigth handed,0,VAS,0,Coupling A,0.2281636
P33_2,20,Female,Rigth handed,1,VAS,0,Coupling A,0.2659672
P33_2,20,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P33_2,20,Female,Rigth handed,0,VAS,0.45,Coupling A,0.1777674
P33_2,20,Female,Rigth handed,1,VAS,0.45,Coupling A,0.1398806
P33_2,20,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P33_2,20,Female,Rigth handed,0,VAS,0,Coupling A,0.2151045
P33_2,20,Female,Rigth handed,1,VAS,0,Coupling A,0.2447188
P33_2,20,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P33_2,20,Female,Rigth handed,0,VAS,0.675,Coupling A,0.08552237
P33_2,20,Female,Rigth handed,1,VAS,0.675,Coupling A,0.1442623
P33_2,20,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P33_2,20,Female,Rigth handed,0,VAS,0.225,Coupling A,0.1309011
P33_2,20,Female,Rigth handed,1,VAS,0.225,Coupling A,0.2179434
P33_2,20,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P33_2,20,Female,Rigth handed,0,VAS,0.225,Coupling A,0.1714021
P33_2,20,Female,Rigth handed,1,VAS,0.225,Coupling A,0.2221703
P33_2,20,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P33_2,20,Female,Rigth handed,0,VAS,0,Coupling A,0.2208137
P33_2,20,Female,Rigth handed,1,VAS,0,Coupling A,0.2118974
P33_2,20,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P33_2,20,Female,Rigth handed,0,VAS,0.9,Coupling A,0.1429653
P33_2,20,Female,Rigth handed,1,VAS,0.9,Coupling A,0.09625579
P33_2,20,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P33_2,20,Female,Rigth handed,0,VAS,0.225,Coupling A,0.1227289
P33_2,20,Female,Rigth handed,1,VAS,0.225,Coupling A,0.1234701
P33_2,20,Female,Rigth handed,0,ForcedChoice,0,Coupling A,0
P33_2,20,Female,Rigth handed,0,VAS,0,Coupling A,0.09019342
P33_2,20,Female,Rigth handed,1,VAS,0,Coupling A,0.1339268
P33_2,20,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P33_2,20,Female,Rigth handed,0,VAS,0.9,Coupling A,0.1305527
P33_2,20,Female,Rigth handed,1,VAS,0.9,Coupling A,0.1263116
P33_2,20,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P33_2,20,Female,Rigth handed,0,VAS,0.225,Coupling A,0.2148727
P33_2,20,Female,Rigth handed,1,VAS,0.225,Coupling A,0.1874611
P33_2,20,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P33_2,20,Female,Rigth handed,0,VAS,0.9,Coupling A,0.1168444
P33_2,20,Female,Rigth handed,1,VAS,0.9,Coupling A,0.1654449
P33_2,20,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P33_2,20,Female,Rigth handed,0,VAS,0.225,Coupling A,0.06272326
P33_2,20,Female,Rigth handed,1,VAS,0.225,Coupling A,0.08642741
P33_2,20,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P33_2,20,Female,Rigth handed,0,VAS,0.9,Coupling A,0.1950141
P33_2,20,Female,Rigth handed,1,VAS,0.9,Coupling A,0.174714
P33_2,20,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,1
P33_2,20,Female,Rigth handed,0,VAS,0.675,Coupling A,0.2085015
P33_2,20,Female,Rigth handed,1,VAS,0.675,Coupling A,0.2401819
P33_2,20,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P33_2,20,Female,Rigth handed,0,VAS,0.45,Coupling A,0.1349043
P33_2,20,Female,Rigth handed,1,VAS,0.45,Coupling A,0.2874586
P33_2,20,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P33_2,20,Female,Rigth handed,0,VAS,0.45,Coupling A,0.1727537
P33_2,20,Female,Rigth handed,1,VAS,0.45,Coupling A,0.1958437
P33_2,20,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P33_2,20,Female,Rigth handed,0,VAS,0.225,Coupling A,0.1772841
P33_2,20,Female,Rigth handed,1,VAS,0.225,Coupling A,0.2346917
P33_2,20,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P33_2,20,Female,Rigth handed,0,VAS,0.675,Coupling A,0.1302663
P33_2,20,Female,Rigth handed,1,VAS,0.675,Coupling A,0.1448762
P33_2,20,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,1
P33_2,20,Female,Rigth handed,0,VAS,0.45,Coupling A,0.1694759
P33_2,20,Female,Rigth handed,1,VAS,0.45,Coupling A,0.1696097
P33_2,20,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P33_2,20,Female,Rigth handed,0,VAS,0.45,Coupling A,0.140828
P33_2,20,Female,Rigth handed,1,VAS,0.45,Coupling A,0.1966976
P33_2,20,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P33_2,20,Female,Rigth handed,0,VAS,0,Coupling A,0.09495392
P33_2,20,Female,Rigth handed,1,VAS,0,Coupling A,0.187048
P33_2,20,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P33_2,20,Female,Rigth handed,0,VAS,0.9,Coupling A,0.02451707
P33_2,20,Female,Rigth handed,1,VAS,0.9,Coupling A,0.05062223
P33_2,20,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P33_2,20,Female,Rigth handed,0,VAS,0.225,Coupling A,0.05482588
P33_2,20,Female,Rigth handed,1,VAS,0.225,Coupling A,0.09018193
P33_2,20,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P33_2,20,Female,Rigth handed,0,VAS,0.9,Coupling A,0.03189741
P33_2,20,Female,Rigth handed,1,VAS,0.9,Coupling A,0.03198176
P33_2,20,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P33_2,20,Female,Rigth handed,0,VAS,0.45,Coupling A,0.03341408
P33_2,20,Female,Rigth handed,1,VAS,0.45,Coupling A,0.06091223
P33_2,20,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P33_2,20,Female,Rigth handed,0,VAS,0.675,Coupling A,0.02548295
P33_2,20,Female,Rigth handed,1,VAS,0.675,Coupling A,0.0380025
P33_2,20,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P33_2,20,Female,Rigth handed,0,VAS,0,Coupling A,0.05893031
P33_2,20,Female,Rigth handed,1,VAS,0,Coupling A,0.06770192
P33_2,20,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P33_2,20,Female,Rigth handed,0,VAS,0.9,Coupling A,0.09695531
P33_2,20,Female,Rigth handed,1,VAS,0.9,Coupling A,0.05748149
