subject ID,age,gender,handedness,question ID,questionnaire type,delay,condition,value
P21_2,24,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P21_2,24,Male,Rigth handed,0,VAS,0,Coupling A,0.8185171
P21_2,24,Male,Rigth handed,1,VAS,0,Coupling A,0.5397847
P21_2,24,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P21_2,24,Male,Rigth handed,0,VAS,0,Coupling A,0.7687569
P21_2,24,Male,Rigth handed,1,VAS,0,Coupling A,0.7470238
P21_2,24,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P21_2,24,Male,Rigth handed,0,VAS,0.9,Coupling A,0.4268698
P21_2,24,Male,Rigth handed,1,VAS,0.9,Coupling A,0.3907365
P21_2,24,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P21_2,24,Male,Rigth handed,0,VAS,0.675,Coupling A,0.4149664
P21_2,24,Male,Rigth handed,1,VAS,0.675,Coupling A,0.6512631
P21_2,24,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P21_2,24,Male,Rigth handed,0,VAS,0.225,Coupling A,0.7663987
P21_2,24,Male,Rigth handed,1,VAS,0.225,Coupling A,0.6704557
P21_2,24,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,1
P21_2,24,Male,Rigth handed,0,VAS,0.675,Coupling A,0.791477
P21_2,24,Male,Rigth handed,1,VAS,0.675,Coupling A,0.514759
P21_2,24,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P21_2,24,Male,Rigth handed,0,VAS,0.225,Coupling A,0.8488337
P21_2,24,Male,Rigth handed,1,VAS,0.225,Coupling A,0.8939461
P21_2,24,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,1
P21_2,24,Male,Rigth handed,0,VAS,0.45,Coupling A,0.6285551
P21_2,24,Male,Rigth handed,1,VAS,0.45,Coupling A,0.7450871
P21_2,24,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,1
P21_2,24,Male,Rigth handed,0,VAS,0.9,Coupling A,0.639991
P21_2,24,Male,Rigth handed,1,VAS,0.9,Coupling A,0.6526134
P21_2,24,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P21_2,24,Male,Rigth handed,0,VAS,0.225,Coupling A,0.7118015
P21_2,24,Male,Rigth handed,1,VAS,0.225,Coupling A,0.7020154
P21_2,24,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P21_2,24,Male,Rigth handed,0,VAS,0.9,Coupling A,0.7441955
P21_2,24,Male,Rigth handed,1,VAS,0.9,Coupling A,0.3501414
P21_2,24,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P21_2,24,Male,Rigth handed,0,VAS,0.225,Coupling A,0.6055691
P21_2,24,Male,Rigth handed,1,VAS,0.225,Coupling A,0.7158982
P21_2,24,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P21_2,24,Male,Rigth handed,0,VAS,0,Coupling A,0.772994
P21_2,24,Male,Rigth handed,1,VAS,0,Coupling A,0.7125764
P21_2,24,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P21_2,24,Male,Rigth handed,0,VAS,0,Coupling A,0.9075479
P21_2,24,Male,Rigth handed,1,VAS,0,Coupling A,0.6377082
P21_2,24,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P21_2,24,Male,Rigth handed,0,VAS,0.9,Coupling A,0.3908637
P21_2,24,Male,Rigth handed,1,VAS,0.9,Coupling A,0.4146801
P21_2,24,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,1
P21_2,24,Male,Rigth handed,0,VAS,0.45,Coupling A,0.7129598
P21_2,24,Male,Rigth handed,1,VAS,0.45,Coupling A,0.6397336
P21_2,24,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P21_2,24,Male,Rigth handed,0,VAS,0.675,Coupling A,0.6263658
P21_2,24,Male,Rigth handed,1,VAS,0.675,Coupling A,0.6381832
P21_2,24,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P21_2,24,Male,Rigth handed,0,VAS,0,Coupling A,0.8657558
P21_2,24,Male,Rigth handed,1,VAS,0,Coupling A,0.8456376
P21_2,24,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P21_2,24,Male,Rigth handed,0,VAS,0.225,Coupling A,0.7884488
P21_2,24,Male,Rigth handed,1,VAS,0.225,Coupling A,0.8645484
P21_2,24,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,1
