subject ID,age,gender,handedness,question ID,questionnaire type,delay,condition,value
P05,23,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P05,23,Female,Rigth handed,0,VAS,0.9,Coupling A,0.3219383
P05,23,Female,Rigth handed,1,VAS,0.9,Coupling A,0.0329927
P05,23,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P05,23,Female,Rigth handed,0,VAS,0.675,Coupling A,0.3480805
P05,23,Female,Rigth handed,1,VAS,0.675,Coupling A,0.1288972
P05,23,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P05,23,Female,Rigth handed,0,VAS,0,Coupling A,0.5000702
P05,23,Female,Rigth handed,1,VAS,0,Coupling A,0.7627473
P05,23,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P05,23,Female,Rigth handed,0,VAS,0.45,Coupling A,0.589855
P05,23,Female,Rigth handed,1,VAS,0.45,Coupling A,0.5526643
P05,23,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P05,23,Female,Rigth handed,0,VAS,0.225,Coupling A,0.6715886
P05,23,Female,Rigth handed,1,VAS,0.225,Coupling A,0.8900751
P05,23,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P05,23,Female,Rigth handed,0,VAS,0.675,Coupling A,0.5313739
P05,23,Female,Rigth handed,1,VAS,0.675,Coupling A,0.4929976
P05,23,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P05,23,Female,Rigth handed,0,VAS,0.225,Coupling A,0.7052315
P05,23,Female,Rigth handed,1,VAS,0.225,Coupling A,0.7788684
P05,23,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P05,23,Female,Rigth handed,0,VAS,0.45,Coupling A,0.7047367
P05,23,Female,Rigth handed,1,VAS,0.45,Coupling A,0.7731576
P05,23,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P05,23,Female,Rigth handed,0,VAS,0.675,Coupling A,0.3660356
P05,23,Female,Rigth handed,1,VAS,0.675,Coupling A,0.432258
P05,23,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P05,23,Female,Rigth handed,0,VAS,0.45,Coupling A,0.6410063
P05,23,Female,Rigth handed,1,VAS,0.45,Coupling A,0.5912392
P05,23,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P05,23,Female,Rigth handed,0,VAS,0,Coupling A,0.7467415
P05,23,Female,Rigth handed,1,VAS,0,Coupling A,0.8251668
P05,23,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P05,23,Female,Rigth handed,0,VAS,0.9,Coupling A,0.3566341
P05,23,Female,Rigth handed,1,VAS,0.9,Coupling A,0.1689672
P05,23,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P05,23,Female,Rigth handed,0,VAS,0.9,Coupling A,0.3167191
P05,23,Female,Rigth handed,1,VAS,0.9,Coupling A,0.4273623
P05,23,Female,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P05,23,Female,Rigth handed,0,VAS,0.45,Coupling A,0.6500987
P05,23,Female,Rigth handed,1,VAS,0.45,Coupling A,0.7585323
P05,23,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P05,23,Female,Rigth handed,0,VAS,0.225,Coupling A,0.593103
P05,23,Female,Rigth handed,1,VAS,0.225,Coupling A,0.8117257
P05,23,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P05,23,Female,Rigth handed,0,VAS,0.675,Coupling A,0.5739151
P05,23,Female,Rigth handed,1,VAS,0.675,Coupling A,0.6421469
P05,23,Female,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P05,23,Female,Rigth handed,0,VAS,0.675,Coupling A,0.5195349
P05,23,Female,Rigth handed,1,VAS,0.675,Coupling A,0.7220703
P05,23,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P05,23,Female,Rigth handed,0,VAS,0.9,Coupling A,0.6019453
P05,23,Female,Rigth handed,1,VAS,0.9,Coupling A,0.5320426
P05,23,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P05,23,Female,Rigth handed,0,VAS,0.225,Coupling A,0.648783
P05,23,Female,Rigth handed,1,VAS,0.225,Coupling A,0.7287965
P05,23,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P05,23,Female,Rigth handed,0,VAS,0.9,Coupling A,0.6194395
P05,23,Female,Rigth handed,1,VAS,0.9,Coupling A,0.4797361
P05,23,Female,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P05,23,Female,Rigth handed,0,VAS,0.9,Coupling A,0.629181
P05,23,Female,Rigth handed,1,VAS,0.9,Coupling A,0.5076277
P05,23,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P05,23,Female,Rigth handed,0,VAS,0,Coupling A,0.7073254
P05,23,Female,Rigth handed,1,VAS,0,Coupling A,0.8138976
P05,23,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P05,23,Female,Rigth handed,0,VAS,0.225,Coupling A,0.6961253
P05,23,Female,Rigth handed,1,VAS,0.225,Coupling A,0.8939407
P05,23,Female,Rigth handed,0,ForcedChoice,0,Coupling A,1
P05,23,Female,Rigth handed,0,VAS,0,Coupling A,0.8838313
P05,23,Female,Rigth handed,1,VAS,0,Coupling A,0.9437451
P05,23,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
P05,23,Female,Rigth handed,0,VAS,0.225,Coupling A,0.8087901
P05,23,Female,Rigth handed,1,VAS,0.225,Coupling A,0.9156447
P05,23,Female,Rigth handed,0,ForcedChoice,0.225,Coupling A,1
