subject ID,age,gender,handedness,question ID,questionnaire type,delay,condition,value
P16,18,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P16,18,Male,Rigth handed,0,VAS,0,Coupling A,0.5999712
P16,18,Male,Rigth handed,1,VAS,0,Coupling A,0.7016311
P16,18,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.45,Coupling A,0.3510551
P16,18,Male,Rigth handed,1,VAS,0.45,Coupling A,0.6276764
P16,18,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.9,Coupling A,0.327629
P16,18,Male,Rigth handed,1,VAS,0.9,Coupling A,0.4824174
P16,18,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.9,Coupling A,0.4010206
P16,18,Male,Rigth handed,1,VAS,0.9,Coupling A,0.4318792
P16,18,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.45,Coupling A,0.3554845
P16,18,Male,Rigth handed,1,VAS,0.45,Coupling A,0.5430678
P16,18,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.675,Coupling A,0.4156072
P16,18,Male,Rigth handed,1,VAS,0.675,Coupling A,0.4626338
P16,18,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.225,Coupling A,0.6706182
P16,18,Male,Rigth handed,1,VAS,0.225,Coupling A,0.7971092
P16,18,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.225,Coupling A,0.6005099
P16,18,Male,Rigth handed,1,VAS,0.225,Coupling A,0.8441249
P16,18,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.675,Coupling A,0.4832592
P16,18,Male,Rigth handed,1,VAS,0.675,Coupling A,0.5844529
P16,18,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.675,Coupling A,0.4562643
P16,18,Male,Rigth handed,1,VAS,0.675,Coupling A,0.5490913
P16,18,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P16,18,Male,Rigth handed,0,VAS,0,Coupling A,0.8739009
P16,18,Male,Rigth handed,1,VAS,0,Coupling A,0.986191
P16,18,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.45,Coupling A,0.4617735
P16,18,Male,Rigth handed,1,VAS,0.45,Coupling A,0.5736666
P16,18,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P16,18,Male,Rigth handed,0,VAS,0,Coupling A,0.7324498
P16,18,Male,Rigth handed,1,VAS,0,Coupling A,0.9293777
P16,18,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.675,Coupling A,0.2700491
P16,18,Male,Rigth handed,1,VAS,0.675,Coupling A,0.3058768
P16,18,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.9,Coupling A,0.3550332
P16,18,Male,Rigth handed,1,VAS,0.9,Coupling A,0.4412735
P16,18,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P16,18,Male,Rigth handed,0,VAS,0,Coupling A,0.6163934
P16,18,Male,Rigth handed,1,VAS,0,Coupling A,0.8901039
P16,18,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.675,Coupling A,0.3158633
P16,18,Male,Rigth handed,1,VAS,0.675,Coupling A,0.4107322
P16,18,Male,Rigth handed,0,ForcedChoice,0,Coupling A,1
P16,18,Male,Rigth handed,0,VAS,0,Coupling A,0.6775455
P16,18,Male,Rigth handed,1,VAS,0,Coupling A,0.8012099
P16,18,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.45,Coupling A,0.5589678
P16,18,Male,Rigth handed,1,VAS,0.45,Coupling A,0.6859702
P16,18,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.45,Coupling A,0.4956434
P16,18,Male,Rigth handed,1,VAS,0.45,Coupling A,0.445749
P16,18,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.225,Coupling A,0.3404287
P16,18,Male,Rigth handed,1,VAS,0.225,Coupling A,0.8494039
P16,18,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.45,Coupling A,0.3813485
P16,18,Male,Rigth handed,1,VAS,0.45,Coupling A,0.573293
P16,18,Male,Rigth handed,0,ForcedChoice,0,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0,Coupling A,0.4884098
P16,18,Male,Rigth handed,1,VAS,0,Coupling A,0.5427133
P16,18,Male,Rigth handed,0,ForcedChoice,0.45,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.45,Coupling A,0.6310948
P16,18,Male,Rigth handed,1,VAS,0.45,Coupling A,0.5901828
P16,18,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.9,Coupling A,0.2992887
P16,18,Male,Rigth handed,1,VAS,0.9,Coupling A,0.4757114
P16,18,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.225,Coupling A,0.377907
P16,18,Male,Rigth handed,1,VAS,0.225,Coupling A,0.4834779
P16,18,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.9,Coupling A,0.3030913
P16,18,Male,Rigth handed,1,VAS,0.9,Coupling A,0.5952577
P16,18,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.9,Coupling A,0.3429503
P16,18,Male,Rigth handed,1,VAS,0.9,Coupling A,0.3880263
P16,18,Male,Rigth handed,0,ForcedChoice,0,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0,Coupling A,0.3152896
P16,18,Male,Rigth handed,1,VAS,0,Coupling A,0.4506388
P16,18,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.225,Coupling A,0.6697847
P16,18,Male,Rigth handed,1,VAS,0.225,Coupling A,0.669941
P16,18,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.675,Coupling A,0.3982955
P16,18,Male,Rigth handed,1,VAS,0.675,Coupling A,0.4183589
P16,18,Male,Rigth handed,0,ForcedChoice,0.675,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.675,Coupling A,0.3163263
P16,18,Male,Rigth handed,1,VAS,0.675,Coupling A,0.3325454
P16,18,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.225,Coupling A,0.349062
P16,18,Male,Rigth handed,1,VAS,0.225,Coupling A,0.3990395
P16,18,Male,Rigth handed,0,ForcedChoice,0.225,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.225,Coupling A,0.2396892
P16,18,Male,Rigth handed,1,VAS,0.225,Coupling A,0.3025326
P16,18,Male,Rigth handed,0,ForcedChoice,0.9,Coupling A,0
P16,18,Male,Rigth handed,0,VAS,0.9,Coupling A,0.2560216
P16,18,Male,Rigth handed,1,VAS,0.9,Coupling A,0.237039
